Timestamp,VSet,VMon,IMon,ChStatus
12_05_32,-0.0,-0.1070000007748603,0.0040000001899898,3
12_05_34,-0.5,-0.6129999756813049,0.0049999998882412,3
12_05_34,-1.0,-0.9290000200271606,0.0049999998882412,3
12_05_35,-1.5,-1.4359999895095823,0.0520000010728836,3
12_05_36,-2.0,-1.9390000104904173,0.0520000010728836,3
12_05_37,-2.5,-2.436000108718872,0.0489999987185001,3
12_05_38,-3.0,-2.934999942779541,0.0489999987185001,3
12_05_38,-3.5,-3.433000087738037,0.050000000745058,3
12_05_39,-4.0,-3.930999994277954,0.050000000745058,3
12_05_40,-4.5,-4.427000045776367,0.0560000017285347,3
12_05_41,-5.0,-4.934999942779541,0.0560000017285347,3
12_05_42,-5.5,-5.422999858856201,0.0769999995827674,3
12_05_42,-6.0,-5.922999858856201,0.0769999995827674,3
12_05_43,-6.5,-6.418000221252441,0.0710000023245811,3
12_05_44,-7.0,-6.914999961853027,0.0710000023245811,3
12_05_45,-7.5,-7.410999774932861,0.0659999996423721,3
12_05_46,-8.0,-7.909999847412109,0.0659999996423721,3
12_05_46,-8.5,-8.406000137329102,0.0610000006854534,3
12_05_47,-9.0,-8.904999732971191,0.0610000006854534,3
12_05_48,-9.5,-9.399999618530272,0.0570000000298023,3
12_05_49,-10.0,-9.899999618530272,0.0570000000298023,3
12_05_50,-10.5,-10.395000457763672,0.0590000003576278,3
12_05_50,-11.0,-10.894000053405762,0.0590000003576278,3
12_05_51,-11.5,-11.388999938964844,0.0560000017285347,3
12_05_52,-12.0,-11.890000343322754,0.0560000017285347,3
12_05_53,-12.5,-12.38700008392334,0.0579999983310699,3
12_05_54,-13.0,-12.88700008392334,0.0579999983310699,3
12_05_54,-13.5,-13.383000373840332,0.0560000017285347,3
12_05_55,-14.0,-13.880000114440918,0.0560000017285347,3
12_05_56,-14.5,-14.376999855041504,0.0570000000298023,3
12_05_57,-15.0,-14.878999710083008,0.0570000000298023,3
12_05_58,-15.5,-15.37399959564209,0.0579999983310699,3
12_05_58,-16.0,-15.87399959564209,0.0560000017285347,3
12_05_59,-16.5,-16.371000289916992,0.0590000003576278,3
12_06_00,-17.0,-16.871000289916992,0.0560000017285347,3
12_06_01,-17.5,-17.368000030517578,0.0579999983310699,3
12_06_02,-18.0,-17.868999481201172,0.0560000017285347,3
12_06_02,-18.5,-18.364999771118164,0.0590000003576278,3
12_06_03,-19.0,-18.867000579833984,0.0579999983310699,3
12_06_04,-19.5,-19.363000869750977,0.0599999986588954,3
12_06_05,-20.0,-19.863000869750977,0.0570000000298023,3
12_06_06,-20.5,-20.358999252319336,0.0599999986588954,3
12_06_06,-21.0,-20.86199951171875,0.0599999986588954,3
12_06_07,-21.5,-21.357999801635746,0.0610000006854534,3
12_06_08,-22.0,-21.86100006103516,0.0610000006854534,3
12_06_09,-22.5,-22.356000900268555,0.0630000010132789,3
12_06_10,-23.0,-22.85700035095215,0.0630000010132789,3
12_06_10,-23.5,-23.35400009155273,0.0649999976158142,3
12_06_11,-24.0,-23.854999542236328,0.0640000030398368,3
12_06_12,-24.5,-24.350000381469727,0.0659999996423721,3
12_06_13,-25.0,-24.850000381469727,0.0659999996423721,3
12_06_14,-25.5,-25.347000122070312,0.06700000166893,3
12_06_14,-26.0,-25.847999572753903,0.0649999976158142,3
12_06_15,-26.5,-26.3439998626709,0.0689999982714653,3
12_06_16,-27.0,-26.84499931335449,0.0659999996423721,3
12_06_17,-27.5,-27.340999603271484,0.0719999969005584,3
12_06_18,-28.0,-27.84199905395508,0.0710000023245811,3
12_06_18,-28.5,-28.339000701904297,0.0759999975562095,3
12_06_19,-29.0,-28.83799934387207,0.0740000009536743,3
12_06_20,-29.5,-29.333999633789062,0.0759999975562095,3
12_06_21,-30.0,-29.83699989318848,0.0759999975562095,3
12_06_22,-30.5,-30.334999084472656,0.0810000002384185,3
12_06_22,-31.0,-30.834999084472656,0.0799999982118606,3
12_06_23,-31.5,-31.333999633789062,0.0869999974966049,3
12_06_24,-32.0,-31.83699989318848,0.0869999974966049,3
12_06_25,-32.5,-32.332000732421875,0.0979999974370002,3
12_06_26,-33.0,-32.834999084472656,0.0979999974370002,3
12_06_26,-33.5,-33.33300018310547,0.1150000020861625,3
12_06_27,-34.0,-33.83300018310547,0.1150000020861625,3
12_06_28,-34.5,-34.33000183105469,0.1330000013113021,3
12_06_29,-35.0,-34.82899856567383,0.1330000013113021,3
12_06_30,-35.5,-35.32500076293945,0.152999997138977,3
12_06_30,-36.0,-35.82500076293945,0.152999997138977,3
12_06_31,-36.5,-36.32799911499024,0.1850000023841858,3
12_06_32,-37.0,-36.82600021362305,0.1850000023841858,3
12_06_33,-37.5,-37.32500076293945,0.19200000166893,3
12_06_34,-38.0,-37.821998596191406,0.2080000042915344,3
12_06_34,-38.5,-38.32099914550781,0.2249999940395355,3
12_06_35,-39.0,-38.81900024414063,0.2399999946355819,3
12_06_36,-39.5,-39.32099914550781,0.25,3
12_06_37,-40.0,-39.81900024414063,0.2680000066757202,3
12_06_38,-40.5,-40.31999969482422,0.2849999964237213,3
12_06_38,-41.0,-40.81999969482422,0.289000004529953,3
12_06_39,-41.5,-41.31999969482422,0.3019999861717224,3
12_06_40,-42.0,-41.81800079345703,0.3019999861717224,3
12_06_41,-42.5,-42.31999969482422,0.3109999895095825,3
12_06_42,-43.0,-42.81800079345703,0.3109999895095825,3
12_06_42,-43.5,-43.31800079345703,0.3190000057220459,3
12_06_43,-44.0,-43.81499862670898,0.3190000057220459,3
12_06_44,-44.5,-44.31499862670898,0.3230000138282776,3
12_06_45,-45.0,-44.8120002746582,0.3230000138282776,3
12_06_46,-45.5,-45.3129997253418,0.335999995470047,3
12_06_46,-46.0,-45.80899810791016,0.335999995470047,3
12_06_47,-46.5,-46.30899810791016,0.3409999907016754,3
12_06_48,-47.0,-46.81100082397461,0.3409999907016754,3
12_06_49,-47.5,-47.30899810791016,0.3449999988079071,3
12_06_50,-48.0,-47.81100082397461,0.3449999988079071,3
12_06_50,-48.5,-48.305999755859375,0.3420000076293945,3
12_06_51,-49.0,-48.80899810791016,0.3510000109672546,3
12_06_52,-49.5,-49.30699920654297,0.3470000028610229,3
12_06_53,-50.0,-49.80899810791016,0.3409999907016754,3
12_06_54,-50.5,-50.305999755859375,0.3429999947547912,3
12_06_54,-51.0,-50.80799865722656,0.3529999852180481,3
12_06_55,-51.5,-51.30400085449219,0.367000013589859,3
12_06_56,-52.0,-51.805999755859375,0.3700000047683716,3
12_06_57,-52.5,-52.30400085449219,0.3729999959468841,3
12_06_58,-53.0,-52.80400085449219,0.3770000040531158,3
12_06_58,-53.5,-53.30099868774414,0.3930000066757202,3
12_07_00,-54.0,-53.970001220703125,0.4090000092983246,3
12_07_01,-54.5,-54.30699920654297,0.3899999856948852,3
12_07_02,-55.0,-54.80099868774414,0.4210000038146972,3
12_07_02,-55.5,-55.30099868774414,0.4259999990463257,3
12_07_04,-56.0,-55.96599960327149,0.4449999928474426,3
12_07_05,-56.5,-56.30500030517578,0.4410000145435333,3
12_07_06,-57.0,-56.96200180053711,0.4740000069141388,3
12_07_07,-57.5,-57.30199813842773,0.4620000123977661,3
12_07_09,-58.0,-57.96500015258789,0.5360000133514404,3
12_07_10,-58.5,-58.30400085449219,0.5099999904632568,3
12_07_11,-59.0,-58.96500015258789,0.5580000281333923,3
