Timestamp,VSet,VMon,IMon,ChStatus
13_21_14,0.0,0.0640000030398368,0.0780000016093254,3
13_21_15,0.5,0.5879999995231628,0.0350000001490116,3
13_21_16,1.0,0.9259999990463256,0.0280000008642673,3
13_21_17,1.5,1.4110000133514404,0.0280000008642673,3
13_21_18,2.0,1.909999966621399,0.0260000005364418,3
13_21_18,2.5,2.407000064849853,0.0260000005364418,3
13_21_19,3.0,2.907000064849853,0.0270000007003545,3
13_21_20,3.5,3.4040000438690186,0.0270000007003545,3
13_21_21,4.0,3.9049999713897705,0.0020000000949949,3
13_21_22,4.5,4.400000095367432,0.0010000000474974,3
13_21_22,5.0,4.89900016784668,0.0070000002160668,3
13_21_23,5.5,5.396999835968018,0.0099999997764825,3
13_21_24,6.0,5.895999908447266,0.0089999996125698,3
13_21_25,6.5,6.392000198364258,0.0160000007599592,3
13_21_26,7.0,6.889999866485596,0.0140000004321336,3
13_21_26,7.5,7.386000156402588,0.0109999999403953,3
13_21_27,8.0,7.885000228881836,0.0130000002682209,3
13_21_28,8.5,8.380000114440918,0.0040000001899898,3
13_21_29,9.0,8.880999565124512,0.0130000002682209,3
13_21_30,9.5,9.37600040435791,0.0149999996647238,3
13_21_30,10.0,9.875,0.0160000007599592,3
13_21_31,10.5,10.371000289916992,0.0130000002682209,3
13_21_32,11.0,10.869999885559082,0.0109999999403953,3
13_21_33,11.5,11.366999626159668,0.0160000007599592,3
13_21_34,12.0,11.866999626159668,0.0179999992251396,3
13_21_34,12.5,12.36400032043457,0.0299999993294477,3
13_21_35,13.0,12.864999771118164,0.0160000007599592,3
13_21_36,13.5,13.361000061035156,0.0160000007599592,3
13_21_37,14.0,13.861000061035156,0.0170000009238719,3
13_21_38,14.5,14.357999801635742,0.0130000002682209,3
13_21_38,15.0,14.859000205993652,0.0219999998807907,3
13_21_39,15.5,15.355999946594238,0.0189999993890523,3
13_21_40,16.0,15.854999542236328,0.0199999995529651,3
13_21_41,16.5,16.35300064086914,0.0,3
13_21_42,17.0,16.854000091552734,0.0179999992251396,3
13_21_42,17.5,17.35099983215332,0.0179999992251396,3
13_21_43,18.0,17.850000381469727,0.0140000004321336,3
13_21_44,18.5,18.349000930786133,0.0140000004321336,3
13_21_45,19.0,18.85099983215332,0.0149999996647238,3
13_21_46,19.5,19.349000930786133,0.0149999996647238,3
13_21_46,20.0,19.847999572753903,0.0230000000447034,3
13_21_47,20.5,20.347000122070312,0.0080000003799796,3
13_21_48,21.0,20.847000122070312,0.0140000004321336,3
13_21_49,21.5,21.343000411987305,0.0199999995529651,3
13_21_50,22.0,21.84600067138672,0.0179999992251396,3
13_21_50,22.5,22.343000411987305,0.0219999998807907,3
13_21_51,23.0,22.84199905395508,0.0199999995529651,3
13_21_52,23.5,23.340999603271484,0.0199999995529651,3
13_21_53,24.0,23.840999603271484,0.0179999992251396,3
13_21_54,24.5,24.34000015258789,0.0120000001043081,3
13_21_54,25.0,24.84000015258789,0.0209999997168779,3
13_21_55,25.5,25.336000442504883,0.0199999995529651,3
13_21_56,26.0,25.836000442504883,0.0199999995529651,3
13_21_57,26.5,26.333999633789062,0.0,3
13_21_58,27.0,26.833999633789062,0.0209999997168779,3
13_21_58,27.5,27.33300018310547,0.0170000009238719,3
13_21_59,28.0,27.82999992370605,0.0170000009238719,3
13_22_00,28.5,28.32900047302246,0.0189999993890523,3
13_22_01,29.0,28.83099937438965,0.0209999997168779,3
13_22_02,29.5,29.32699966430664,0.0219999998807907,3
13_22_02,30.0,29.827999114990234,0.0160000007599592,3
13_22_03,30.5,30.32699966430664,0.0149999996647238,3
13_22_04,31.0,30.827999114990234,0.0270000007003545,3
13_22_05,31.5,31.327999114990234,0.0270000007003545,3
13_22_06,32.0,31.82900047302246,0.0080000003799796,3
13_22_06,32.5,32.32899856567383,0.0080000003799796,3
13_22_07,33.0,32.82899856567383,0.0260000005364418,3
13_22_08,33.5,33.32699966430664,0.0260000005364418,3
13_22_09,34.0,33.82699966430664,0.0219999998807907,3
13_22_10,34.5,34.32600021362305,0.0189999993890523,3
13_22_10,35.0,34.82500076293945,0.0179999992251396,3
13_22_11,35.5,35.32099914550781,0.0189999993890523,3
13_22_12,36.0,35.821998596191406,0.0199999995529651,3
13_22_13,36.5,36.32400131225586,0.0219999998807907,3
13_22_14,37.0,36.821998596191406,0.0179999992251396,3
13_22_14,37.5,37.321998596191406,0.0189999993890523,3
13_22_15,38.0,37.81800079345703,0.0160000007599592,3
13_22_16,38.5,38.31700134277344,0.0189999993890523,3
