Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-8.36E-08,,,,
68,-33.5,-8.60E-08,,,,
69,-34,-8.54E-08,,,,
70,-34.5,-8.93E-08,,,,
71,-35,-9.08E-08,,,,
72,-35.5,-9.76E-08,,,,
73,-36,-1.03E-07,,,,
74,-36.5,-1.02E-07,,,,
75,-37,-1.06E-07,,,,
76,-37.5,-1.08E-07,,,,
77,-38,-1.10E-07,,,,
78,-38.5,-1.20E-07,,,,
79,-39,-1.21E-07,,,,
80,-39.5,-1.27E-07,,,,
81,-40,-1.33E-07,,,,
82,-40.5,-1.38E-07,,,,
83,-41,-1.42E-07,,,,
84,-41.5,-1.52E-07,,,,
85,-42,-1.53E-07,,,,
86,-42.5,-1.57E-07,,,,
87,-43,-1.63E-07,,,,
88,-43.5,-1.69E-07,,,,
89,-44,-1.77E-07,,,,
90,-44.5,-1.86E-07,,,,
91,-45,-1.91E-07,,,,
92,-45.5,-1.99E-07,,,,
93,-46,-2.08E-07,,,,
94,-46.5,-2.09E-07,,,,
95,-47,-2.23E-07,,,,
96,-47.5,-2.36E-07,,,,
97,-48,-2.46E-07,,,,
98,-48.5,-2.58E-07,,,,
99,-49,-2.70E-07,,,,
100,-49.5,-2.87E-07,,,,
101,-50,-2.98E-07,,,,
102,-50.5,-3.14E-07,,,,
103,-51,-3.28E-07,,,,
104,-51.5,-3.49E-07,,,,
105,-52,-3.63E-07,,,,
106,-52.5,-3.70E-07,,,,
107,-53,-3.87E-07,,,,
108,-53.5,-4.03E-07,,,,
109,-54,-4.16E-07,,,,
110,-54.5,-4.37E-07,,,,
111,-55,-4.49E-07,,,,
112,-55.5,-4.79E-07,,,,
113,-56,-4.88E-07,,,,
114,-56.5,-5.03E-07,,,,
115,-57,-5.34E-07,,,,
116,-57.5,-5.49E-07,,,,
117,-58,-5.79E-07,,,,
118,-58.5,-5.95E-07,,,,
119,-59,-6.18E-07,,,,
120,-59.5,-6.44E-07,,,,
121,-60,-6.51E-07,,,,
122,-60.5,-6.83E-07,,,,
123,-61,-7.00E-07,,,,
124,-61.5,-6.99E-07,,,,
125,-62,-7.28E-07,,,,
126,-62.5,-7.48E-07,,,,
127,-63,-7.83E-07,,,,
128,-63.5,-7.93E-07,,,,
129,-64,-8.26E-07,,,,
130,-64.5,-8.32E-07,,,,
131,-65,-8.55E-07,,,,
132,-65.5,-8.69E-07,,,,
133,-66,-8.85E-07,,,,
134,-66.5,-9.17E-07,,,,
135,-67,-9.38E-07,,,,
136,-67.5,-9.49E-07,,,,
137,-68,-9.94E-07,,,,
138,-68.5,-1.01E-06,,,,
139,-69,-1.02E-06,,,,
140,-69.5,-1.04E-06,,,,
141,-70,-1.05E-06,,,,
142,-70.5,-1.06E-06,,,,
143,-71,-1.07E-06,,,,
144,-71.5,-1.09E-06,,,,
145,-72,-1.08E-06,,,,
146,-72.5,-1.10E-06,,,,
147,-73,-1.09E-06,,,,
148,-73.5,-1.14E-06,,,,
149,-74,-1.14E-06,,,,
150,-74.5,-1.15E-06,,,,
151,-75,-1.16E-06,,,,
152,-75.5,-1.17E-06,,,,
153,-76,-1.19E-06,,,,
154,-76.5,-1.21E-06,,,,
155,-77,-1.23E-06,,,,
156,-77.5,-1.25E-06,,,,
157,-78,-1.26E-06,,,,
158,-78.5,-1.30E-06,,,,
159,-79,-1.33E-06,,,,
160,-79.5,-1.36E-06,,,,
161,-80,-1.39E-06,,,,
162,-80.5,-1.41E-06,,,,
163,-81,-1.45E-06,,,,
164,-81.5,-1.48E-06,,,,
165,-82,-1.54E-06,,,,
166,-82.5,-1.58E-06,,,,
167,-83,-1.62E-06,,,,
168,-83.5,-1.64E-06,,,,
169,-84,-1.71E-06,,,,
170,-84.5,-1.76E-06,,,,
171,-85,-1.80E-06,,,,
172,-85.5,-1.87E-06,,,,
173,-86,-1.91E-06,,,,
174,-86.5,-1.96E-06,,,,
175,-87,-2.02E-06,,,,
176,-87.5,-2.09E-06,,,,
177,-88,-2.14E-06,,,,
178,-88.5,-2.19E-06,,,,
179,-89,-2.25E-06,,,,
180,-89.5,-2.34E-06,,,,
181,-90,-2.41E-06,,,,
182,-90.5,-2.49E-06,,,,
183,-91,-2.57E-06,,,,
184,-91.5,-2.62E-06,,,,
185,-92,-2.69E-06,,,,
186,-92.5,-2.76E-06,,,,
187,-93,-2.81E-06,,,,
188,-93.5,-2.86E-06,,,,
189,-94,-2.92E-06,,,,
190,-94.5,-2.95E-06,,,,
191,-95,-3.05E-06,,,,
192,-95.5,-3.11E-06,,,,
193,-96,-3.15E-06,,,,
194,-96.5,-3.18E-06,,,,
195,-97,-3.24E-06,,,,
196,-97.5,-3.30E-06,,,,
197,-98,-3.36E-06,,,,
198,-98.5,-3.45E-06,,,,
199,-99,-3.54E-06,,,,
200,-99.5,-3.67E-06,,,,
201,-100,-3.76E-06,,,,
