Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
NO.,VF,IF,,,,
,V,A,,,,
1,0,-1.30E-09,,,,
2,-0.5,-6.30E-09,,,,
3,-1,-7.02E-09,,,,
4,-1.5,-7.43E-09,,,,
5,-2,-6.88E-09,,,,
6,-2.5,-8.74E-09,,,,
7,-3,-8.90E-09,,,,
8,-3.5,-1.00E-08,,,,
9,-4,-1.07E-08,,,,
10,-4.5,-1.15E-08,,,,
11,-5,-1.19E-08,,,,
12,-5.5,-1.23E-08,,,,
13,-6,-1.38E-08,,,,
14,-6.5,-1.45E-08,,,,
15,-7,-1.29E-08,,,,
16,-7.5,-1.45E-08,,,,
17,-8,-1.42E-08,,,,
18,-8.5,-1.56E-08,,,,
19,-9,-1.49E-08,,,,
20,-9.5,-1.60E-08,,,,
21,-10,-1.74E-08,,,,
22,-10.5,-1.71E-08,,,,
23,-11,-2.00E-08,,,,
24,-11.5,-1.80E-08,,,,
25,-12,-1.93E-08,,,,
26,-12.5,-2.25E-08,,,,
27,-13,-2.17E-08,,,,
28,-13.5,-2.19E-08,,,,
29,-14,-2.14E-08,,,,
30,-14.5,-2.35E-08,,,,
31,-15,-2.50E-08,,,,
32,-15.5,-2.58E-08,,,,
33,-16,-2.76E-08,,,,
34,-16.5,-2.76E-08,,,,
35,-17,-2.84E-08,,,,
36,-17.5,-3.09E-08,,,,
37,-18,-3.15E-08,,,,
38,-18.5,-3.32E-08,,,,
39,-19,-3.25E-08,,,,
40,-19.5,-3.52E-08,,,,
41,-20,-3.68E-08,,,,
42,-20.5,-3.62E-08,,,,
43,-21,-3.80E-08,,,,
44,-21.5,-4.07E-08,,,,
45,-22,-4.26E-08,,,,
46,-22.5,-4.37E-08,,,,
47,-23,-4.57E-08,,,,
48,-23.5,-4.41E-08,,,,
49,-24,-4.68E-08,,,,
50,-24.5,-4.96E-08,,,,
51,-25,-4.98E-08,,,,
52,-25.5,-5.17E-08,,,,
53,-26,-5.60E-08,,,,
54,-26.5,-5.65E-08,,,,
55,-27,-5.66E-08,,,,
56,-27.5,-5.80E-08,,,,
57,-28,-6.18E-08,,,,
58,-28.5,-6.40E-08,,,,
59,-29,-6.37E-08,,,,
60,-29.5,-6.42E-08,,,,
61,-30,-7.03E-08,,,,
62,-30.5,-7.26E-08,,,,
63,-31,-7.31E-08,,,,
64,-31.5,-7.61E-08,,,,
65,-32,-7.99E-08,,,,
66,-32.5,-8.27E-08,,,,
