Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
NO.,VF,IF,,,,
,V,A,,,,
175,-87,-1.38E-06,,,,
176,-87.5,-1.39E-06,,,,
177,-88,-1.42E-06,,,,
178,-88.5,-1.43E-06,,,,
179,-89,-1.41E-06,,,,
180,-89.5,-1.44E-06,,,,
181,-90,-1.43E-06,,,,
182,-90.5,-1.46E-06,,,,
183,-91,-1.47E-06,,,,
184,-91.5,-1.47E-06,,,,
185,-92,-1.48E-06,,,,
186,-92.5,-1.50E-06,,,,
187,-93,-1.50E-06,,,,
188,-93.5,-1.50E-06,,,,
189,-94,-1.53E-06,,,,
190,-94.5,-1.55E-06,,,,
191,-95,-1.58E-06,,,,
192,-95.5,-1.60E-06,,,,
193,-96,-1.62E-06,,,,
194,-96.5,-1.67E-06,,,,
195,-97,-1.73E-06,,,,
196,-97.5,-1.81E-06,,,,
197,-98,-1.93E-06,,,,
198,-98.5,-2.11E-06,,,,
199,-99,-2.38E-06,,,,
200,-99.5,-2.70E-06,,,,
201,-100,-2.93E-06,,,,
