Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
NO.,VF,IF,,,,
,V,A,,,,
1,0,-2.30E-09,,,,
2,-0.5,-2.90E-09,,,,
3,-1,-2.81E-09,,,,
4,-1.5,-2.25E-09,,,,
5,-2,-1.88E-09,,,,
6,-2.5,-2.47E-09,,,,
7,-3,-3.28E-09,,,,
8,-3.5,-2.91E-09,,,,
9,-4,-3.09E-09,,,,
10,-4.5,-2.58E-09,,,,
11,-5,-3.04E-09,,,,
12,-5.5,-3.73E-09,,,,
13,-6,-2.40E-09,,,,
14,-6.5,-2.90E-09,,,,
15,-7,-3.33E-09,,,,
16,-7.5,-3.39E-09,,,,
17,-8,-3.82E-09,,,,
18,-8.5,-4.70E-09,,,,
19,-9,-6.22E-09,,,,
20,-9.5,-4.97E-09,,,,
21,-10,-4.09E-09,,,,
22,-10.5,-5.49E-09,,,,
23,-11,-4.32E-09,,,,
24,-11.5,-5.97E-09,,,,
25,-12,-6.06E-09,,,,
26,-12.5,-6.05E-09,,,,
27,-13,-6.36E-09,,,,
28,-13.5,-5.78E-09,,,,
29,-14,-6.65E-09,,,,
30,-14.5,-7.94E-09,,,,
31,-15,-8.35E-09,,,,
32,-15.5,-9.08E-09,,,,
33,-16,-9.99E-09,,,,
34,-16.5,-9.56E-09,,,,
35,-17,-9.15E-09,,,,
36,-17.5,-1.03E-08,,,,
37,-18,-9.90E-09,,,,
38,-18.5,-1.07E-08,,,,
39,-19,-1.16E-08,,,,
40,-19.5,-1.21E-08,,,,
41,-20,-1.37E-08,,,,
42,-20.5,-1.36E-08,,,,
43,-21,-1.24E-08,,,,
44,-21.5,-1.46E-08,,,,
45,-22,-1.56E-08,,,,
46,-22.5,-1.59E-08,,,,
47,-23,-1.65E-08,,,,
48,-23.5,-1.53E-08,,,,
49,-24,-1.68E-08,,,,
50,-24.5,-1.90E-08,,,,
51,-25,-1.98E-08,,,,
52,-25.5,-2.04E-08,,,,
53,-26,-2.07E-08,,,,
54,-26.5,-2.11E-08,,,,
55,-27,-2.28E-08,,,,
56,-27.5,-2.25E-08,,,,
57,-28,-2.33E-08,,,,
58,-28.5,-2.50E-08,,,,
59,-29,-2.57E-08,,,,
60,-29.5,-2.73E-08,,,,
61,-30,-2.79E-08,,,,
62,-30.5,-2.85E-08,,,,
63,-31,-2.95E-08,,,,
64,-31.5,-3.10E-08,,,,
65,-32,-3.19E-08,,,,
66,-32.5,-3.18E-08,,,,
