Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-3.53E-08,,,,
68,-33.5,-3.49E-08,,,,
69,-34,-3.80E-08,,,,
70,-34.5,-3.92E-08,,,,
71,-35,-4.00E-08,,,,
72,-35.5,-4.19E-08,,,,
73,-36,-4.33E-08,,,,
74,-36.5,-4.50E-08,,,,
75,-37,-4.71E-08,,,,
76,-37.5,-4.94E-08,,,,
77,-38,-5.10E-08,,,,
78,-38.5,-5.45E-08,,,,
79,-39,-5.87E-08,,,,
80,-39.5,-6.26E-08,,,,
81,-40,-6.91E-08,,,,
82,-40.5,-7.50E-08,,,,
83,-41,-8.25E-08,,,,
84,-41.5,-9.13E-08,,,,
85,-42,-9.96E-08,,,,
86,-42.5,-1.16E-07,,,,
87,-43,-1.19E-07,,,,
88,-43.5,-1.38E-07,,,,
89,-44,-1.64E-07,,,,
90,-44.5,-1.78E-07,,,,
91,-45,-2.39E-07,,,,
92,-45.5,-2.00E-06,,,,
93,-46,-2.72E-06,,,,
94,-46.5,-2.72E-06,,,,
95,-47,-2.62E-06,,,,
96,-47.5,-2.57E-06,,,,
97,-48,-2.56E-06,,,,
98,-48.5,-2.56E-06,,,,
99,-49,-2.56E-06,,,,
100,-49.5,-2.58E-06,,,,
101,-50,-2.57E-06,,,,
102,-50.5,-2.57E-06,,,,
103,-51,-2.55E-06,,,,
104,-51.5,-2.59E-06,,,,
105,-52,-2.60E-06,,,,
106,-52.5,-2.62E-06,,,,
107,-53,-2.64E-06,,,,
108,-53.5,-2.67E-06,,,,
109,-54,-2.72E-06,,,,
110,-54.5,-2.74E-06,,,,
111,-55,-2.77E-06,,,,
112,-55.5,-2.82E-06,,,,
113,-56,-2.86E-06,,,,
114,-56.5,-2.91E-06,,,,
115,-57,-2.97E-06,,,,
116,-57.5,-3.02E-06,,,,
117,-58,-3.04E-06,,,,
118,-58.5,-3.04E-06,,,,
119,-59,-3.07E-06,,,,
120,-59.5,-3.09E-06,,,,
121,-60,-3.14E-06,,,,
122,-60.5,-3.18E-06,,,,
123,-61,-3.19E-06,,,,
124,-61.5,-3.23E-06,,,,
125,-62,-3.22E-06,,,,
126,-62.5,-3.21E-06,,,,
127,-63,-3.23E-06,,,,
128,-63.5,-3.26E-06,,,,
129,-64,-3.25E-06,,,,
130,-64.5,-3.23E-06,,,,
131,-65,-3.26E-06,,,,
132,-65.5,-3.42E-06,,,,
133,-66,-5.36E-06,,,,
134,-66.5,-5.91E-06,,,,
135,-67,-5.79E-06,,,,
136,-67.5,-5.64E-06,,,,
137,-68,-5.59E-06,,,,
138,-68.5,-5.56E-06,,,,
139,-69,-5.50E-06,,,,
140,-69.5,-5.42E-06,,,,
141,-70,-5.39E-06,,,,
142,-70.5,-5.30E-06,,,,
143,-71,-5.26E-06,,,,
144,-71.5,-5.12E-06,,,,
145,-72,-5.16E-06,,,,
146,-72.5,-5.15E-06,,,,
147,-73,-5.17E-06,,,,
148,-73.5,-5.10E-06,,,,
149,-74,-5.05E-06,,,,
150,-74.5,-5.05E-06,,,,
151,-75,-5.04E-06,,,,
152,-75.5,-5.06E-06,,,,
153,-76,-5.04E-06,,,,
154,-76.5,-5.04E-06,,,,
155,-77,-4.96E-06,,,,
156,-77.5,-4.96E-06,,,,
157,-78,-5.01E-06,,,,
158,-78.5,-5.06E-06,,,,
159,-79,-5.03E-06,,,,
160,-79.5,-5.11E-06,,,,
161,-80,-5.07E-06,,,,
162,-80.5,-5.05E-06,,,,
163,-81,-5.06E-06,,,,
164,-81.5,-4.96E-06,,,,
165,-82,-4.97E-06,,,,
166,-82.5,-4.96E-06,,,,
167,-83,-5.04E-06,,,,
168,-83.5,-5.02E-06,,,,
169,-84,-4.96E-06,,,,
170,-84.5,-5.01E-06,,,,
171,-85,-4.99E-06,,,,
172,-85.5,-4.96E-06,,,,
173,-86,-4.94E-06,,,,
174,-86.5,-4.98E-06,,,,
175,-87,-5.01E-06,,,,
176,-87.5,-4.96E-06,,,,
177,-88,-5.01E-06,,,,
178,-88.5,-5.05E-06,,,,
179,-89,-5.01E-06,,,,
180,-89.5,-5.03E-06,,,,
181,-90,-5.03E-06,,,,
182,-90.5,-5.00E-06,,,,
183,-91,-4.99E-06,,,,
184,-91.5,-4.99E-06,,,,
185,-92,-5.05E-06,,,,
186,-92.5,-5.01E-06,,,,
187,-93,-5.06E-06,,,,
188,-93.5,-5.05E-06,,,,
189,-94,-5.01E-06,,,,
190,-94.5,-5.09E-06,,,,
191,-95,-5.01E-06,,,,
192,-95.5,-5.05E-06,,,,
193,-96,-5.07E-06,,,,
194,-96.5,-5.08E-06,,,,
195,-97,-5.07E-06,,,,
196,-97.5,-5.13E-06,,,,
197,-98,-5.17E-06,,,,
198,-98.5,-5.19E-06,,,,
199,-99,-5.22E-06,,,,
200,-99.5,-5.24E-06,,,,
201,-100,-5.25E-06,,,,
