Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-7.50E-08,,,,
68,-33.5,-8.05E-08,,,,
69,-34,-8.29E-08,,,,
70,-34.5,-8.51E-08,,,,
71,-35,-9.06E-08,,,,
72,-35.5,-9.43E-08,,,,
73,-36,-9.55E-08,,,,
74,-36.5,-1.01E-07,,,,
75,-37,-1.06E-07,,,,
76,-37.5,-1.11E-07,,,,
77,-38,-1.16E-07,,,,
78,-38.5,-1.21E-07,,,,
79,-39,-1.30E-07,,,,
80,-39.5,-1.34E-07,,,,
81,-40,-1.47E-07,,,,
82,-40.5,-1.58E-07,,,,
83,-41,-1.67E-07,,,,
84,-41.5,-1.86E-07,,,,
85,-42,-2.10E-07,,,,
86,-42.5,-2.32E-07,,,,
87,-43,-2.63E-07,,,,
88,-43.5,-2.91E-07,,,,
89,-44,-3.36E-07,,,,
90,-44.5,-3.84E-07,,,,
91,-45,-4.43E-07,,,,
92,-45.5,-4.99E-07,,,,
93,-46,-5.64E-07,,,,
94,-46.5,-6.26E-07,,,,
95,-47,-6.88E-07,,,,
96,-47.5,-7.41E-07,,,,
97,-48,-8.08E-07,,,,
98,-48.5,-8.76E-07,,,,
99,-49,-9.22E-07,,,,
100,-49.5,-9.76E-07,,,,
101,-50,-1.02E-06,,,,
102,-50.5,-1.01E-06,,,,
103,-51,-1.04E-06,,,,
104,-51.5,-1.05E-06,,,,
105,-52,-1.07E-06,,,,
106,-52.5,-1.08E-06,,,,
107,-53,-1.09E-06,,,,
108,-53.5,-1.11E-06,,,,
109,-54,-1.11E-06,,,,
110,-54.5,-1.11E-06,,,,
111,-55,-1.12E-06,,,,
112,-55.5,-1.13E-06,,,,
113,-56,-1.14E-06,,,,
114,-56.5,-1.13E-06,,,,
115,-57,-1.14E-06,,,,
116,-57.5,-1.16E-06,,,,
117,-58,-1.17E-06,,,,
118,-58.5,-1.17E-06,,,,
119,-59,-1.18E-06,,,,
120,-59.5,-1.19E-06,,,,
121,-60,-1.20E-06,,,,
122,-60.5,-1.21E-06,,,,
123,-61,-1.21E-06,,,,
124,-61.5,-1.23E-06,,,,
125,-62,-1.23E-06,,,,
126,-62.5,-1.23E-06,,,,
127,-63,-1.26E-06,,,,
128,-63.5,-1.27E-06,,,,
129,-64,-1.27E-06,,,,
130,-64.5,-1.29E-06,,,,
131,-65,-1.30E-06,,,,
132,-65.5,-1.33E-06,,,,
133,-66,-1.32E-06,,,,
134,-66.5,-1.35E-06,,,,
135,-67,-1.36E-06,,,,
136,-67.5,-1.36E-06,,,,
137,-68,-1.37E-06,,,,
138,-68.5,-1.38E-06,,,,
139,-69,-1.37E-06,,,,
140,-69.5,-1.39E-06,,,,
141,-70,-1.38E-06,,,,
142,-70.5,-1.39E-06,,,,
143,-71,-1.42E-06,,,,
144,-71.5,-1.42E-06,,,,
145,-72,-1.44E-06,,,,
146,-72.5,-1.44E-06,,,,
147,-73,-1.47E-06,,,,
148,-73.5,-1.46E-06,,,,
149,-74,-1.45E-06,,,,
150,-74.5,-1.49E-06,,,,
151,-75,-1.48E-06,,,,
152,-75.5,-1.49E-06,,,,
153,-76,-1.49E-06,,,,
154,-76.5,-1.50E-06,,,,
155,-77,-1.51E-06,,,,
156,-77.5,-1.51E-06,,,,
157,-78,-1.52E-06,,,,
158,-78.5,-1.54E-06,,,,
159,-79,-1.53E-06,,,,
160,-79.5,-1.52E-06,,,,
161,-80,-1.52E-06,,,,
162,-80.5,-1.54E-06,,,,
163,-81,-1.54E-06,,,,
164,-81.5,-1.53E-06,,,,
165,-82,-1.55E-06,,,,
166,-82.5,-1.55E-06,,,,
167,-83,-1.55E-06,,,,
168,-83.5,-1.56E-06,,,,
169,-84,-1.58E-06,,,,
170,-84.5,-1.59E-06,,,,
171,-85,-1.60E-06,,,,
172,-85.5,-1.59E-06,,,,
173,-86,-1.61E-06,,,,
174,-86.5,-1.60E-06,,,,
175,-87,-1.61E-06,,,,
176,-87.5,-1.62E-06,,,,
177,-88,-1.65E-06,,,,
178,-88.5,-1.64E-06,,,,
179,-89,-1.65E-06,,,,
180,-89.5,-1.66E-06,,,,
181,-90,-1.69E-06,,,,
182,-90.5,-1.71E-06,,,,
183,-91,-1.70E-06,,,,
184,-91.5,-1.70E-06,,,,
185,-92,-1.73E-06,,,,
186,-92.5,-1.75E-06,,,,
187,-93,-1.79E-06,,,,
188,-93.5,-1.83E-06,,,,
189,-94,-1.90E-06,,,,
190,-94.5,-2.08E-06,,,,
191,-95,-2.57E-06,,,,
192,-95.5,-3.39E-06,,,,
193,-96,-3.95E-06,,,,
194,-96.5,-4.28E-06,,,,
195,-97,-4.63E-06,,,,
196,-97.5,-4.89E-06,,,,
197,-98,-4.93E-06,,,,
198,-98.5,-4.95E-06,,,,
199,-99,-5.00E-06,,,,
200,-99.5,-5.03E-06,,,,
201,-100,-5.07E-06,,,,
