Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
NO.,VF,IF,,,,
,V,A,,,,
1,0,-2.97E-09,,,,
2,-0.5,-4.25E-09,,,,
3,-1,-5.12E-09,,,,
4,-1.5,-5.08E-09,,,,
5,-2,-5.08E-09,,,,
6,-2.5,-6.52E-09,,,,
7,-3,-6.75E-09,,,,
8,-3.5,-9.08E-09,,,,
9,-4,-7.10E-09,,,,
10,-4.5,-9.96E-09,,,,
11,-5,-9.77E-09,,,,
12,-5.5,-1.06E-08,,,,
13,-6,-1.19E-08,,,,
14,-6.5,-1.02E-08,,,,
15,-7,-1.24E-08,,,,
16,-7.5,-1.22E-08,,,,
17,-8,-1.33E-08,,,,
18,-8.5,-1.50E-08,,,,
19,-9,-1.38E-08,,,,
20,-9.5,-1.59E-08,,,,
21,-10,-1.54E-08,,,,
22,-10.5,-1.59E-08,,,,
23,-11,-1.59E-08,,,,
24,-11.5,-1.64E-08,,,,
25,-12,-1.63E-08,,,,
26,-12.5,-1.76E-08,,,,
27,-13,-1.96E-08,,,,
28,-13.5,-1.92E-08,,,,
29,-14,-1.81E-08,,,,
30,-14.5,-1.93E-08,,,,
31,-15,-2.12E-08,,,,
32,-15.5,-2.20E-08,,,,
33,-16,-2.41E-08,,,,
34,-16.5,-2.40E-08,,,,
35,-17,-2.41E-08,,,,
36,-17.5,-2.48E-08,,,,
37,-18,-2.58E-08,,,,
38,-18.5,-2.84E-08,,,,
39,-19,-2.84E-08,,,,
40,-19.5,-2.94E-08,,,,
41,-20,-3.17E-08,,,,
42,-20.5,-3.19E-08,,,,
43,-21,-3.33E-08,,,,
44,-21.5,-3.62E-08,,,,
45,-22,-3.58E-08,,,,
46,-22.5,-3.72E-08,,,,
47,-23,-4.19E-08,,,,
48,-23.5,-3.98E-08,,,,
49,-24,-4.28E-08,,,,
50,-24.5,-4.35E-08,,,,
51,-25,-4.45E-08,,,,
52,-25.5,-4.64E-08,,,,
53,-26,-4.83E-08,,,,
54,-26.5,-4.88E-08,,,,
55,-27,-5.10E-08,,,,
56,-27.5,-5.24E-08,,,,
57,-28,-5.53E-08,,,,
58,-28.5,-5.53E-08,,,,
59,-29,-5.67E-08,,,,
60,-29.5,-6.17E-08,,,,
61,-30,-6.33E-08,,,,
62,-30.5,-6.31E-08,,,,
63,-31,-6.55E-08,,,,
64,-31.5,-6.76E-08,,,,
65,-32,-7.25E-08,,,,
66,-32.5,-6.97E-08,,,,
